,Daily average,weekly average,monthly average,long term average,mid term average,short term average
2020-02-27,0.13212631578947368,,,,,
2020-02-28,0.20582168021680217,,,,,
2020-02-29,0.19946125,,,,,
2020-03-01,0.10943825136612022,,,,,
2020-03-02,0.13394878048780487,,,,,
2020-03-03,0.06373640776699029,,,,,
2020-03-04,0.08306650943396227,0.5480730245297291,,,,0.5480730245297291
2020-03-05,0.07785115207373272,0.4760118626272526,,,,0.4760118626272526
2020-03-06,0.12769944134078212,0.4019327497634377,,,,0.4019327497634377
2020-03-07,0.07243886010362695,0.3655505680962349,,,,0.3655505680962349
2020-03-08,0.06509913793103449,0.35377522869480943,,,,0.35377522869480943
2020-03-09,0.0805552,0.3505726760980478,,,,0.3505726760980478
2020-03-10,0.06256214285714286,0.332648133667132,,,,0.332648133667132
2020-03-11,0.06064978723404255,0.30960070993466104,,,,0.30960070993466104
2020-03-12,0.042704377104377106,0.2854464388712576,,,,0.2854464388712576
2020-03-13,0.0687598615916955,0.2576673212242112,,,,0.2576673212242112
2020-03-14,0.043243555555555556,0.2413428813726778,,,,0.2413428813726778
2020-03-15,0.06144114832535885,0.22816355001136956,,,,0.22816355001136956
2020-03-16,0.07668095238095238,0.22907705267586953,,,,0.22907705267586953
2020-03-17,0.0771,0.23502442454452172,,,,0.23502442454452172
2020-03-18,0.08124530386740332,0.25530188031653267,,,,0.25530188031653267
2020-03-19,0.04198443396226415,0.2705173172249409,,,,0.2705173172249409
2020-03-20,0.1246775,0.28923774721896717,,,,0.28923774721896717
2020-03-21,0.09866709401709402,0.3112649161151908,,,,0.3112649161151908
2020-03-22,0.05087546468401487,0.31619918813760545,,,,0.31619918813760545
2020-03-23,0.061975091575091575,0.3309953031540006,,,,0.3309953031540006
2020-03-24,0.05192619718309859,0.3156044555614086,,,,0.3156044555614086
2020-03-25,0.07391944444444444,0.28863492207138053,,,,0.28863492207138053
2020-03-26,0.060190123456790125,0.2715865130703934,,,,0.2715865130703934
2020-03-27,0.09563988095238095,0.25795663701052185,1.1163890715103006,,,0.25795663701052185
2020-03-28,0.014931739130434784,0.25326597214170965,1.0867847997875348,,,0.25326597214170965
2020-03-29,0.023834065934065934,0.2422408750384652,1.0622707602906447,,,0.2422408750384652
2020-03-30,0.0898013698630137,0.23628992484358288,1.048075019402156,,,0.23628992484358288
2020-03-31,0.104214375,0.22406640081628293,1.0414349800075515,,,0.22406640081628293
2020-04-01,0.06749911894273128,0.2342333362552231,1.0383795613141051,,,0.2342333362552231
2020-04-02,0.05664922480620155,0.2651254060397918,1.0354955734296232,,,0.2651254060397918
2020-04-03,0.03167008196721312,0.27408184224885446,1.032233677155642,,,0.27408184224885446
2020-04-04,0.03023125,0.26239887369601234,1.0252882850666731,,,0.26239887369601234
2020-04-05,0.03553148148148148,0.22958215082478362,1.0124970308730983,,,0.22958215082478362
2020-04-06,0.13649009009009008,0.20852185455649316,1.0021416018666491,,,0.20852185455649316
2020-04-07,0.13388423236514524,0.22754791786163592,0.9978598797925893,,,0.22754791786163592
2020-04-08,0.12467058823529412,0.28867959697560214,0.9994583770856988,,,0.28867959697560214
2020-04-09,0.060960869565217395,0.36416053247581476,1.0036254582922277,,,0.36416053247581476
2020-04-10,0.09079077306733167,0.4082564223993657,1.0080173540627986,,,0.4082564223993657
2020-04-11,0.0706806779661017,0.4109978861236728,1.0108481033851533,,,0.4109978861236728
2020-04-12,0.14165225225225225,0.39437493129339574,1.0171006503324678,,,0.39437493129339574
2020-04-13,0.07512247838616715,0.37493503164742226,1.0317280818683376,,,0.37493503164742226
2020-04-14,0.10311245059288537,0.37000038063852675,1.0482104721130683,,,0.37000038063852675
2020-04-15,0.12020396600566573,0.39324744023928315,1.0638064299437597,,,0.39324744023928315
2020-04-16,0.08632534562211981,0.398417357178267,1.0799651636452268,,,0.398417357178267
2020-04-17,0.07749618138424821,0.40064029766153353,1.0985862354592244,,,0.40064029766153353
2020-04-18,0.0731515748031496,0.39229259981597775,1.1204486032888967,,,0.39229259981597775
2020-04-19,0.06548937198067632,0.35788543145428364,1.1483609783456243,,,0.35788543145428364
2020-04-20,0.08156237623762376,0.33611924740399857,1.184235716044766,,,0.33611924740399857
2020-04-21,0.07917639344262295,0.3141796906187869,1.218985059918515,,,0.3141796906187869
2020-04-22,0.08543951367781155,0.3028023374996748,1.2449583310745664,,,0.3028023374996748
2020-04-23,0.048767510548523206,0.3009231675287717,1.2619648912900723,,,0.3009231675287717
2020-04-24,0.08971625615763547,0.3022732098839955,1.2754070012633345,,,0.3022732098839955
2020-04-25,0.07676310160427807,0.30259987626503937,1.2887519659165318,,,0.30259987626503937
2020-04-26,0.03646067415730337,0.2876098480472908,1.3003006265065256,,2.219192952393566,0.2876098480472908
2020-04-27,0.08982744360902256,0.28706526845270525,1.3055890830102665,,2.2132875917313677,0.28706526845270525
2020-04-28,0.05550693430656934,0.27592988841535027,1.3025625635707827,,2.2141447437990505,0.27592988841535027
2020-04-29,0.09344520547945205,0.2695683573063751,1.2964066347187986,,2.2204512991735457,0.2695683573063751
2020-04-30,0.11922,0.29614136753820103,1.288918976438327,,2.228983408166698,0.29614136753820103
2020-05-01,0.15269876543209876,0.3281672249606712,1.2824504393618306,,2.2403801639831946,0.3281672249606712
2020-05-02,0.0821415458937198,0.3754040657426955,1.2770267556540678,,2.25484740000107,0.3754040657426955
2020-05-03,0.07681970443349753,0.4143140052944377,1.2698025734371663,,2.2714667285853003,0.4143140052944377
2020-05-04,0.08642983870967742,0.42433657306292505,1.260840690605023,,2.291425466181472,0.42433657306292505
2020-05-05,0.09638038277511962,0.4045617147113987,1.2503611229905356,,2.315664792976582,0.4045617147113987
2020-05-06,0.06866926406926407,0.3747601330069707,1.2404013446778968,,2.3402565331907885,0.3747601330069707
2020-05-07,0.0786375,0.34956937545565686,1.233389875441379,,2.3605832086915512,0.34956937545565686
2020-05-08,0.13963521739130436,0.34587750289733055,1.2333255225228308,,2.378356841094337,0.34587750289733055
2020-05-09,0.04241502145922747,0.3427738856742759,1.2362849750455724,,2.395362217932234,0.3427738856742759
2020-05-10,0.04806084905660377,0.33788623515417016,1.2362200541557995,,2.410870670025832,0.33788623515417016
2020-05-11,0.09266329588014982,0.33605058471247623,1.2386800680809278,,2.425064712239566,0.33605058471247623
2020-05-12,0.08423071672354948,0.3070624644334368,1.2456951055823695,,2.436986960967686,0.3070624644334368
2020-05-13,0.09181551020408163,0.30391580666958407,1.2561152164749732,,2.4464842127424387,0.30391580666958407
2020-05-14,0.05691140939597315,0.30813389274373865,1.2675039130011452,,2.454263827275905,0.30813389274373865
2020-05-15,0.08928722627737226,0.30800151244716145,1.277032097571084,,2.459338240195749,0.30800151244716145
